dataset,acc_step_1,max_acc_for_steps_larger_than_1,impact_of_cumulative_steps
MiddlePhalanxOutlineAgeGroup,0.6623376623376623,0.6623376623376623,0.00649350649350644
Plane,1.0,1.0,0.0
DistalPhalanxOutlineCorrect,0.7934782608695652,0.7971014492753623,0.007246376811594235
Meat,0.9,0.9166666666666666,0.016666666666666607
HandOutlines,0.8864864864864865,0.8972972972972973,0.008108108108108136
MedicalImages,0.7513157894736842,0.7592105263157894,0.006578947368421018
Wine,0.6851851851851852,0.6851851851851852,0.0
Ham,0.6666666666666666,0.7047619047619048,0.009523809523809601
Haptics,0.4512987012987013,0.5227272727272727,0.05194805194805191
GunPointOldVersusYoung,1.0,1.0,0.0
HouseTwenty,0.9663865546218487,0.9663865546218487,0.008403361344537785
Herring,0.625,0.65625,0.015625
InsectEPGSmallTrain,1.0,1.0,0.0
InsectEPGRegularTrain,1.0,1.0,0.0
InsectWingbeatSound,0.4888888888888889,0.4969696969696969,0.0
InlineSkate,0.3818181818181818,0.3563636363636364,0.0
ItalyPowerDemand,0.9611273080660836,0.9718172983479106,0.0019436345966958868
LargeKitchenAppliances,0.824,0.8293333333333334,0.0
Lightning7,0.7534246575342466,0.7808219178082192,0.0821917808219178
Lightning2,0.7868852459016393,0.8360655737704918,0.0
Mallat,0.9194029850746268,0.9356076759061832,0.0
MiddlePhalanxOutlineCorrect,0.7903780068728522,0.8041237113402062,0.0
MiddlePhalanxTW,0.6233766233766234,0.6298701298701299,0.006493506493506551
MixedShapesRegularTrain,0.9311340206185568,0.9245360824742268,0.0
MixedShapesSmallTrain,0.8630927835051546,0.8465979381443299,0.035876288659793865
MoteStrain,0.902555910543131,0.9017571884984026,0.0
NonInvasiveFetalECGThorax1,0.8966921119592876,0.8997455470737914,0.0010178117048346147
NonInvasiveFetalECGThorax2,0.9180661577608142,0.9292620865139948,0.0
OliveOil,0.7666666666666667,0.8,0.0
OSULeaf,0.7892561983471075,0.7933884297520661,0.016528925619834767
PhalangesOutlinesCorrect,0.8193473193473193,0.8263403263403264,0.002331002331002363
PigArtPressure,0.7019230769230769,0.7596153846153846,0.1298076923076923
PowerCons,0.9611111111111112,0.95,0.011111111111111183
ProximalPhalanxOutlineAgeGroup,0.8682926829268293,0.8975609756097561,0.014634146341463428
ProximalPhalanxOutlineCorrect,0.9003436426116839,0.9037800687285223,0.0
RefrigerationDevices,0.56,0.5866666666666667,0.01866666666666672
ProximalPhalanxTW,0.8341463414634146,0.8341463414634146,0.0
Rock,0.46,0.5,0.0
ScreenType,0.4773333333333333,0.5173333333333333,0.0
SemgHandGenderCh2,0.725,0.7233333333333334,0.0
SemgHandMovementCh2,0.3977777777777778,0.42,0.0
SemgHandSubjectCh2,0.4511111111111111,0.4666666666666667,0.0
ShapeletSim,1.0,1.0,0.0
ShapesAll,0.7383333333333333,0.755,0.023333333333333317
SmallKitchenAppliances,0.7573333333333333,0.7626666666666667,0.0
SmoothSubspace,1.0,0.9933333333333332,0.0
SonyAIBORobotSurface1,0.9151414309484192,0.9234608985024958,0.0033277870216306127
SonyAIBORobotSurface2,0.8467995802728226,0.8730325288562435,0.01049317943336836
StarLightCurves,0.9567751335599806,0.9656386595434676,0.0069208353569691905
Strawberry,0.9702702702702702,0.972972972972973,0.002702702702702786
SwedishLeaf,0.9296,0.9344,0.0
Symbols,0.8884422110552764,0.8683417085427135,0.0010050251256280562
SyntheticControl,0.99,0.9966666666666668,0.010000000000000009
ToeSegmentation1,0.9298245614035088,0.9429824561403508,0.030701754385964786
ToeSegmentation2,0.8923076923076924,0.8846153846153846,0.0
Trace,1.0,1.0,0.0
TwoLeadECG,0.8577699736611062,0.8867427568042142,0.03336259877085157
TwoPatterns,0.8685,0.872,0.0
UMD,0.7430555555555556,0.7569444444444444,0.00694444444444442
UWaveGestureLibraryAll,0.9050809603573424,0.9137353433835846,0.012562814070351869
UWaveGestureLibraryX,0.768285873813512,0.7696817420435511,0.0030709101060859556
UWaveGestureLibraryY,0.6527079843662759,0.6529871580122837,0.012562814070351758
UWaveGestureLibraryZ,0.6856504745951982,0.6806253489670575,0.005025125628140725
Wafer,0.9939974042829332,0.994970798182998,0.0017845554834524657
Worms,0.7662337662337663,0.6493506493506493,0.012987012987012991
WordSynonyms,0.5470219435736677,0.5470219435736677,0.012539184952978122
WormsTwoClass,0.7792207792207793,0.7922077922077922,0.025974025974025983
Yoga,0.784,0.7926666666666666,0.0040000000000000036
ACSF1,0.87,0.87,0.0
Adiac,0.7365728900255755,0.7723785166240409,0.01790281329923271
BeetleFly,0.9,0.9,0.050000000000000044
ArrowHead,0.84,0.8114285714285714,0.06285714285714283
Beef,0.7,0.6,0.0
BirdChicken,0.75,0.95,0.1499999999999999
BME,0.6866666666666666,0.7266666666666667,0.026666666666666727
CBF,0.9677777777777776,0.9677777777777776,0.0
Car,0.5666666666666667,0.6333333333333333,0.08333333333333326
ChlorineConcentration,0.8013020833333333,0.7989583333333333,0.0049479166666666075
CinCECGTorso,0.7731884057971015,0.7963768115942029,0.0
Coffee,0.8214285714285714,0.9285714285714286,0.0
Computers,0.684,0.684,0.0040000000000000036
Crop,0.7568452380952381,0.759702380952381,0.0
DistalPhalanxOutlineAgeGroup,0.7410071942446043,0.8057553956834532,0.02877697841726612
DistalPhalanxTW,0.7194244604316546,0.7338129496402878,0.021582733812949617
Earthquakes,0.7697841726618705,0.7769784172661871,0.0
ECG5000,0.9411111111111112,0.9411111111111112,0.0011111111111112848
ECGFiveDays,0.7770034843205574,0.8606271777003485,0.013937282229965153
ECG200,0.87,0.89,0.010000000000000009
ElectricDevices,0.7101543249902736,0.7215665931785761,0.008040461678122224
EOGHorizontalSignal,0.4889502762430939,0.5276243093922652,0.0
EthanolLevel,0.46,0.468,0.0
FaceAll,0.908284023668639,0.9088757396449704,0.02189349112426031
FaceFour,0.8295454545454546,0.7954545454545454,0.022727272727272707
EOGVerticalSignal,0.4392265193370165,0.4116022099447514,0.008287292817679592
FacesUCR,0.848780487804878,0.8551219512195122,0.014634146341463428
FordA,0.8962121212121212,0.9,0.0
Fish,0.6571428571428571,0.7485714285714286,0.05142857142857138
FordB,0.774074074074074,0.7691358024691358,0.007407407407407418
FreezerSmallTrain,0.8414035087719298,0.8382456140350877,0.0
FreezerRegularTrain,0.990877192982456,0.992280701754386,0.0017543859649123972
GunPoint,0.98,0.9866666666666668,0.0
GunPointAgeSpan,0.9746835443037974,0.971518987341772,0.009493670886075778
GunPointMaleVersusFemale,0.9936708860759492,0.9936708860759492,0.0
