dataset,acc_step_1,max_acc_for_steps_larger_than_1,impact_of_cumulative_steps
MiddlePhalanxOutlineAgeGroup,0.6493506493506493,0.6558441558441559,0.006493506493506551
Plane,1.0,1.0,0.0
DistalPhalanxOutlineCorrect,0.7862318840579711,0.8043478260869565,0.01449275362318847
Meat,0.9166666666666666,0.95,0.01666666666666672
HandOutlines,0.9081081081081082,0.9135135135135136,0.008108108108108247
MedicalImages,0.7460526315789474,0.756578947368421,0.0052631578947368585
Wine,0.8518518518518519,0.8518518518518519,0.07407407407407407
Ham,0.6857142857142857,0.7047619047619048,0.02857142857142858
Haptics,0.474025974025974,0.4707792207792208,0.0
GunPointOldVersusYoung,1.0,1.0,0.0
HouseTwenty,0.9747899159663864,0.9747899159663864,0.0
Herring,0.609375,0.6875,0.0625
InsectEPGSmallTrain,1.0,1.0,0.0
InsectEPGRegularTrain,1.0,1.0,0.0
InsectWingbeatSound,0.5272727272727272,0.5373737373737374,0.0060606060606061
InlineSkate,0.3781818181818182,0.4218181818181818,0.0018181818181818299
ItalyPowerDemand,0.9698736637512148,0.9659863945578232,0.0
LargeKitchenAppliances,0.8026666666666666,0.8186666666666667,0.005333333333333301
Lightning7,0.7123287671232876,0.7397260273972602,0.041095890410958846
Lightning2,0.7704918032786885,0.7868852459016393,0.016393442622950838
Mallat,0.9705756929637528,0.971002132196162,0.0
MiddlePhalanxOutlineCorrect,0.8075601374570447,0.8281786941580757,0.010309278350515538
MiddlePhalanxTW,0.6168831168831169,0.6233766233766234,0.00649350649350644
MixedShapesRegularTrain,0.9385567010309278,0.945979381443299,0.0
MixedShapesSmallTrain,0.8758762886597938,0.8705154639175258,0.0
MoteStrain,0.889776357827476,0.8921725239616614,0.012779552715655007
NonInvasiveFetalECGThorax1,0.9119592875318068,0.9145038167938933,0.0005089058524174739
PhalangesOutlinesCorrect,0.8251748251748252,0.8298368298368298,0.005827505827505797
PigAirwayPressure,0.2451923076923076,0.2403846153846154,0.0192307692307693
