dataset,max_accuracy_through_augmentation_steps_above_1,step_1_accuracy_improvement
FordB,0.7790123456790123,-0.0012345679012345512
FreezerRegularTrain,0.9933333333333332,0.0035087719298243503
FreezerSmallTrain,0.8449122807017544,0.0094736842105263
GunPoint,0.9933333333333332,0.0066666666666663765
GunPointAgeSpan,0.9841772151898734,-0.009493670886075778
GunPointMaleVersusFemale,0.9936708860759492,-0.0031645569620255554
GunPointOldVersusYoung,1.0,0.0
Ham,0.7047619047619048,0.01904761904761909
HandOutlines,0.9162162162162162,0.00540540540540535
Haptics,0.487012987012987,0.029220779220779203
Herring,0.625,0.03125
HouseTwenty,0.9747899159663864,0.01680672268907546
InlineSkate,0.3945454545454545,-0.005454545454545545
InsectEPGSmallTrain,1.0,0.0
InsectWingbeatSound,0.5343434343434343,0.005555555555555536
ItalyPowerDemand,0.9650145772594751,0.0
LargeKitchenAppliances,0.8693333333333333,0.021333333333333315
Lightning2,0.8032786885245902,0.016393442622950838
Lightning7,0.7534246575342466,0.0821917808219178
Mallat,0.9688699360341152,0.02729211087420036
Meat,0.9333333333333332,0.0
MiddlePhalanxOutlineAgeGroup,0.6493506493506493,0.01948051948051943
MiddlePhalanxOutlineCorrect,0.8144329896907216,0.03436426116838487
MiddlePhalanxTW,0.6298701298701299,0.012987012987012991
