dataset,num_classes,num_train_samples,num_test_samples,vae_best_acc,vae_best_f1,classifier_best_acc,classifier_best_f1,classifier_augmented_step_0_best_acc,classifier_augmented_step_0_best_f1,vae_augmented_step_1_best_acc,vae_augmented_step_1_best_f1,classifier_augmented_step_1_best_acc,classifier_augmented_step_1_best_f1,vae_augmented_step_2_best_acc,vae_augmented_step_2_best_f1,classifier_augmented_step_2_best_acc,classifier_augmented_step_2_best_f1,vae_augmented_step_3_best_acc,vae_augmented_step_3_best_f1,classifier_augmented_step_3_best_acc,classifier_augmented_step_3_best_f1,vae_augmented_step_4_best_acc,vae_augmented_step_4_best_f1,classifier_augmented_step_4_best_acc,classifier_augmented_step_4_best_f1,vae_augmented_step_5_best_acc,vae_augmented_step_5_best_f1,classifier_augmented_step_5_best_acc,classifier_augmented_step_5_best_f1,vae_augmented_step_6_best_acc,vae_augmented_step_6_best_f1,classifier_augmented_step_6_best_acc,classifier_augmented_step_6_best_f1,vae_augmented_step_7_best_acc,vae_augmented_step_7_best_f1,classifier_augmented_step_7_best_acc,classifier_augmented_step_7_best_f1,vae_augmented_step_8_best_acc,vae_augmented_step_8_best_f1,classifier_augmented_step_8_best_acc,classifier_augmented_step_8_best_f1,execution_time,alpha
ECG200,2,100,100,0.9300000071525574,0.9235724424063763,0.9,0.8976933514246948,0.87,0.871578502798015,0.9199999570846558,0.9120879120879121,0.91,0.9083335203680843,0.9199999570846558,0.9120879120879121,0.86,0.8607807807807808,0.9099999666213989,0.899001234429357,0.89,0.8896517087018233,0.9099999666213989,0.899001234429357,0.92,0.9194725274725275,0.9099999666213989,0.899001234429357,0.86,0.8619419924337958,0.9300000071525574,0.9225578050669322,0.9,0.8985739750445632,0.9399999976158142,0.9340659340659341,0.91,0.9102621076475029,0.9099999666213989,0.899001234429357,0.87,0.8686624626617988,246.46172499656677,1.0
ECG200,2,100,100,0.9300000071525574,0.9235724424063763,0.9,0.9,0.9,0.9005577005577006,0.9300000071525574,0.9214454045561665,0.9,0.8993406593406593,0.9099999666213989,0.9004314636574842,0.9,0.9010186757215619,0.9199999570846558,0.9131944444444444,0.93,0.9302038615036133,0.9199999570846558,0.9131944444444444,0.91,0.9102621076475029,0.9399999976158142,0.9348958333333333,0.91,0.91072,0.9399999976158142,0.9340659340659341,0.91,0.9097150343924008,0.9399999976158142,0.9340659340659341,0.9,0.9,0.9399999976158142,0.9348958333333333,0.9,0.8976933514246948,293.2808361053467,1.5
ECG200,2,100,100,0.9199999570846558,0.910873440285205,0.87,0.8695883830112459,0.9,0.8993406593406593,0.9199999570846558,0.9120879120879121,0.88,0.8772320217096337,0.9300000071525574,0.9225578050669322,0.85,0.8518213493823251,0.9199999570846558,0.9120879120879121,0.93,0.9292797875871224,0.9099999666213989,0.9004314636574842,0.84,0.8377183600713012,0.8999999761581421,0.8927498927498927,0.9,0.9005577005577006,0.9300000071525574,0.9225578050669322,0.84,0.840892320892321,0.9300000071525574,0.9225578050669322,0.87,0.870378599935282,0.9099999666213989,0.9004314636574842,0.89,0.8888682376369067,270.62495255470276,2.0
ECG200,2,100,100,0.9199999570846558,0.910873440285205,0.87,0.8663703703703703,0.88,0.8816645649432534,0.9099999666213989,0.90292309351742,0.89,0.8913356562137049,0.8999999761581421,0.8901098901098901,0.87,0.87104,0.9300000071525574,0.9214454045561665,0.85,0.8504368460791716,0.9300000071525574,0.9235724424063763,0.9,0.8976933514246948,0.9199999570846558,0.9120879120879121,0.85,0.8526610644257703,0.9199999570846558,0.9131944444444444,0.83,0.8252535612535613,0.9099999666213989,0.90292309351742,0.87,0.871578502798015,0.9199999570846558,0.9131944444444444,0.86,0.8590769230769232,261.03875827789307,2.5
ECG200,2,100,100,0.9199999570846558,0.910873440285205,0.91,0.9090740126120146,0.9,0.8993406593406593,0.9399999976158142,0.9356499356499357,0.88,0.8806692406692406,0.9399999976158142,0.9340659340659341,0.88,0.88,0.9300000071525574,0.9225578050669322,0.86,0.8580035650623885,0.9399999976158142,0.9340659340659341,0.84,0.8347058823529412,0.9300000071525574,0.9225578050669322,0.89,0.886928774928775,0.9199999570846558,0.9120879120879121,0.85,0.8495250573206681,0.9199999570846558,0.9120879120879121,0.88,0.8816645649432534,0.9300000071525574,0.9235724424063763,0.86,0.8607807807807808,249.35261702537537,3.0
ECG200,2,100,100,0.9199999570846558,0.910873440285205,0.88,0.8792087912087913,0.88,0.8772320217096337,0.9300000071525574,0.9235724424063763,0.91,0.9102621076475029,0.9300000071525574,0.9235724424063763,0.87,0.8695883830112459,0.9300000071525574,0.9235724424063763,0.87,0.8686624626617988,0.9300000071525574,0.9244957394024377,0.85,0.8504368460791716,0.9199999570846558,0.9131944444444444,0.88,0.88,0.9199999570846558,0.9120879120879121,0.87,0.8663703703703703,0.9099999666213989,0.9004314636574842,0.84,0.8416298811544992,0.8999999761581421,0.8885918003565062,0.84,0.8426666666666667,252.09620428085327,3.5
ECG200,2,100,100,0.9099999666213989,0.90292309351742,0.86,0.8607807807807808,0.87,0.8675928627538997,0.9399999976158142,0.9331550802139037,0.87,0.8695883830112459,0.9399999976158142,0.9356499356499357,0.83,0.8304950922230612,0.9199999570846558,0.9131944444444444,0.84,0.8426666666666667,0.9399999976158142,0.9348958333333333,0.87,0.8675928627538997,0.9399999976158142,0.9340659340659341,0.84,0.8426666666666667,0.9399999976158142,0.9331550802139037,0.84,0.840892320892321,0.9300000071525574,0.9235724424063763,0.82,0.8224968474148802,0.9300000071525574,0.9225578050669322,0.86,0.8567706919945727,217.90384554862976,4.0
ECG200,2,100,100,0.9099999666213989,0.90292309351742,0.86,0.8580035650623885,0.85,0.848456687686691,0.9300000071525574,0.9225578050669322,0.88,0.8782887700534759,0.9199999570846558,0.9131944444444444,0.9,0.8993406593406593,0.9199999570846558,0.9141999141999142,0.83,0.8282509127115831,0.9399999976158142,0.9340659340659341,0.84,0.8416298811544992,0.9199999570846558,0.9131944444444444,0.83,0.826852205139715,0.9300000071525574,0.9225578050669322,0.84,0.8363093622795116,0.9099999666213989,0.90292309351742,0.81,0.8046951566951567,0.9099999666213989,0.9004314636574842,0.83,0.833391304347826,226.77153611183167,4.5
EOGVerticalSignal,12,362,362,0.8018639089718952,0.886108488699734,0.8839658755697518,0.8319854041874025,0.710859127257448,0.7741617877625031,0.8511087753161803,0.6980331990551957,0.7197479623206514,0.7735720236209154,0.8618045625962504,0.6943668003007246,0.7146500520352052,0.7914536161637319,0.85363856183212,0.6842103225743174,0.715415621272005,0.7953255681399247,0.8601838281223673,0.702796799089974,0.7182960583499043,0.7914752562847879,0.8377400805921267,0.6897077613656182,0.7359369855775283,0.7858944496973158,0.8687885102712722,0.6979109839011586,0.7077911249532542,0.8093143479093504,0.84727901499798,0.7321662964338604,0.6961378072966631,0.7614566452162901,0.8650074848038228,0.7452064521801105,0.7366565069521676,0.8062823911514472,0.8719254914576293,1.0
EOGVerticalSignal,12,362,362,0.8128284681527875,0.853830606041578,0.8889626520765435,0.8025682452457359,0.7848812547270991,0.8666420339667794,0.684053456201585,0.6971543370251332,0.7894851360324661,0.8643054724288253,0.7039977878726507,0.7069515241460415,0.8014778151241553,0.8618137770071972,0.7064194035095206,0.7025745214239082,0.8087750375583669,0.8951721317571509,0.6829098378047193,0.7121417105101917,0.7944617589973084,0.9056190140842295,0.6797607353682744,0.7041983253709644,0.8304702639634555,0.9012764376540316,0.6901355595136861,0.6786498030607269,0.7872779054773517,0.8864604082181616,0.7237185198081817,0.7547118305447553,0.7695693337592872,0.8918022898941991,0.7297519514663448,0.6827767364847898,0.8577134354345013,0.9307770966914348,2.3296276931914726,1.5
