dataset;baseline;FAA;LA;TTSGAN;Diffusion;VaDE;ASCENSION;ResNetemb;ImagenTime;Diffusion-TS;KoVAE
ACSF1;0.8;0.75;0.82;0.86;0.7769784172661871;0.81;0.86;0.9;0.84;0.7996411747335547;0.11
Adiac;0.6982097186700768;0.7416879795396419;0.6751918158567775;0.7570332480818415;0.5576923076923077;0.4731457800511509;0.782608695652174;0.7877237851662404;0.5242966751918159;0.3770373786636047;0.0639386189258312
ArrowHead;0.7771428571428571;0.6685714285714286;0.72;0.7942857142857143;0.4843260188087774;0.8228571428571428;0.8114285714285714;0.8342857142857143;0.7314285714285714;0.755797748410863;0.5771428571428572
BME;0.6666666666666666;0.6466666666666666;0.72;0.6533333333333333;0.3037974683544304;0.6466666666666666;0.7;0.7066666666666667;0.5466666666666666;0.5492309895035354;0.5466666666666666
Beef;0.6333333333333333;0.6;0.6666666666666666;0.6666666666666666;0.733;0.7;0.7;0.8;0.5666666666666667;0.5775015161206783;0.2333333333333333
BeetleFly;0.85;0.8;0.95;0.9;0.9833333333333332;0.9;0.95;0.9;0.95;0.8586865257175909;0.75
BirdChicken;0.75;0.9;0.85;0.85;0.6;0.9;0.75;0.9;0.7;0.6586702107574985;0.5
CBF;0.9766666666666668;0.9922222222222222;0.9466666666666668;0.98;0.6493506493506493;0.9466666666666668;0.97;0.9755555555555556;0.9522222222222222;0.9703662903441316;0.9755555555555556
Car;0.55;0.5666666666666667;0.6166666666666667;0.4;0.9904761904761904;0.6166666666666667;0.6333333333333333;0.6333333333333333;0.3666666666666666;0.3597737564058255;0.4
ChlorineConcentration;0.7791666666666667;0.5640625;0.77109375;0.7986979166666667;0.7314285714285714;0.80859375;0.7984375;0.8158854166666667;0.7723958333333333;0.7673112149088601;0.54375
CinCECGTorso;0.8434782608695652;0.5673913043478261;0.7702898550724637;0.6884057971014492;0.9101497504159732;0.717391304347826;0.8391304347826087;0.8673913043478261;0.4427536231884058;0.4200293435713522;0.5224637681159421
Coffee;0.8214285714285714;1.0;0.8214285714285714;0.8571428571428571;0.7172869926079627;0.9285714285714286;0.8214285714285714;0.8214285714285714;0.75;0.7581947072050261;0.7857142857142857
Computers;0.732;0.78;0.736;0.708;0.7341862426995456;0.728;0.776;0.716;0.716;0.7061832835912896;0.512
Crop;0.7432142857142857;0.7097023809523809;0.7323214285714286;0.7580357142857143;0.824009324009324;0.7639880952380952;0.7652380952380953;0.7664285714285715;0.7651785714285714;0.7763185944758965;0.2838095238095238
DistalPhalanxOutlineAgeGroup;0.7913669064748201;0.7553956834532374;0.7482014388489209;0.7985611510791367;0.7045454545454546;0.8057553956834532;0.7913669064748201;0.8057553956834532;0.7913669064748201;0.8173485511037892;0.6762589928057554
DistalPhalanxOutlineCorrect;0.7971014492753623;0.7608695652173914;0.7681159420289855;0.7934782608695652;0.6116666666666667;0.7934782608695652;0.8079710144927537;0.8043478260869565;0.7862318840579711;0.8082293049516476;0.4166666666666667
DistalPhalanxTW;0.697841726618705;0.6906474820143885;0.7050359712230215;0.7194244604316546;0.6296296296296297;0.7194244604316546;0.697841726618705;0.7266187050359713;0.7050359712230215;0.7038487128634852;0.39568345323741
ECG200;0.9;0.88;0.88;0.87;0.6476190476190476;0.87;0.85;0.91;0.9;0.8002618886590408;0.78
ECG5000;0.9397777777777778;0.9311111111111112;0.9331111111111112;0.9388888888888888;0.6906474820143885;0.9433333333333334;0.9426666666666668;0.9413333333333334;0.9391111111111112;0.9516870594225418;0.8891111111111111
ECGFiveDays;0.7874564459930313;0.9535423925667827;0.8699186991869918;0.7642276422764228;0.9235064209938582;0.8687572590011614;0.7816492450638792;0.8130081300813008;0.710801393728223;0.709595318934997;0.7154471544715447
EOGHorizontalSignal;0.4972375690607735;0.3729281767955801;0.4419889502762431;0.1685082872928177;0.7373417721518988;0.5220994475138122;0.494475138121547;0.2541436464088398;0.4530386740331492;0.3658135903071737;0.1574585635359116
EOGVerticalSignal;0.3867403314917127;0.2154696132596685;0.3646408839779005;0.1657458563535911;0.865814696485623;0.3066298342541436;0.3480662983425414;0.1049723756906077;0.3425414364640884;0.2749985395305556;0.1712707182320442
Earthquakes;0.762589928057554;0.7482014388489209;0.7769784172661871;0.7769784172661871;0.95;0.7697841726618705;0.7841726618705036;0.7769784172661871;0.762589928057554;0.759517142804703;0.762589928057554
ElectricDevices;0.7034107119699131;0.6415510309946829;0.6870704188821165;0.6777331085462327;0.8482926829268292;0.7209181688496953;0.6856438853585787;0.684347036700817;0.7085981066009597;0.702889487347983;0.4039683568927506
EthanolLevel;0.394;0.35;0.358;0.35;0.3214285714285714;0.526;0.8100000619888306;0.404;0.434;0.343462159323027;0.252
FaceAll;0.929585798816568;0.806508875739645;0.8118343195266272;0.8727810650887574;0.4935064935064935;0.9112426035502958;0.8828402366863906;0.8964497041420119;0.7946745562130177;0.7993057100372619;0.0532544378698224
FaceFour;0.8295454545454546;0.7954545454545454;0.75;0.6363636363636364;0.9702702702702702;0.7272727272727273;0.8068181818181818;0.8409090909090909;0.8409090909090909;0.657461893880508;0.4545454545454545
FacesUCR;0.8658536585365854;0.855609756097561;0.8151219512195121;0.8575609756097561;0.9590820786789704;0.8151219512195121;0.8575609756097561;0.8429268292682927;0.824390243902439;0.6811679955529173;0.1068292682926829
Fish;0.7314285714285714;0.8571428571428571;0.6057142857142858;0.6685714285714286;0.8768115942028986;0.8285714285714286;0.6971428571428572;0.7028571428571428;0.5714285714285714;0.4847481770050143;0.1714285714285714
FordA;0.9;0.8984848484848484;0.9015151515151516;0.9;0.782608695652174;0.906818181818182;0.9;0.9030303030303032;0.9053030303030304;0.9168866124262336;0.8212121212121212
FordB;0.7691358024691358;0.7679012345679013;0.774074074074074;0.7728395061728395;0.6839754327191513;0.7851851851851852;0.7945697584566523;0.7877248462666262;0.774074074074074;0.7826271067198116;0.5777777777777777
FreezerRegularTrain;0.9880701754385964;0.8894736842105263;0.956842105263158;0.9891228070175438;0.8097560975609757;0.9926315789473684;0.9893445685657584;0.9993445658477582;0.983859649122807;0.975434299739644;0.8217543859649122
FreezerSmallTrain;0.8178947368421052;0.7905263157894736;0.90140350877193;0.7631578947368421;0.6694584031267449;0.856140350877193;0.8091228604316711;0.8361434837727193;0.7621052631578947;0.7715984520217339;0.751578947368421
GunPoint;0.9866666666666668;0.98;0.9666666666666668;0.9866666666666668;0.3;0.9666666666666668;0.9866666666666668;0.9866666666666668;0.9866666666666668;0.9426949899148036;0.6133333333333333
GunPointAgeSpan;0.971518987341772;0.9462025316455696;0.9430379746835444;0.5063291139240507;0.3228571428571428;0.9873417721518988;0.9884177215189872;0.9873417721518988;0.9620253164556962;0.9706465905776144;0.5063291139240507
GunPointMaleVersusFemale;0.990506329113924;0.9936708860759492;0.990506329113924;0.5253164556962026;0.9312;0.9936708860759492;0.9936708860759492;0.9936708860759492;0.990506329113924;0.9909065818766664;0.8892405063291139
GunPointOldVersusYoung;1.0;1.0;1.0;0.5238095238095238;0.7333333333333333;1.0;1.0;1.0;1.0;1.0;0.5238095238095238
Ham;0.6952380952380952;0.7142857142857143;0.638095238095238;0.6857142857142857;1.0;0.6666666666666666;0.6761904761904762;0.7047619047619048;0.7047619047619048;0.6493073244844821;0.4857142857142857
HandOutlines;0.8972972972972973;0.6810810810810811;0.8891891891891892;0.71652632598451;0.8056265984654731;0.918918918918919;0.9108108108108108;0.9135135135135136;0.8918918918918919;0.904862773129901;0.3594594594594594
Haptics;0.4707792207792208;0.3051948051948052;0.4707792207792208;0.4415584415584415;0.7714285714285715;0.4772727272727273;0.474025974025974;0.474025974025974;0.4577922077922078;0.4106944139934098;0.2175324675324675
Herring;0.609375;0.59375;0.609375;0.625;0.5733333333333334;0.625;0.609375;0.6875;0.609375;0.6208310646014538;0.59375
HouseTwenty;0.957983193277311;0.9327731092436976;0.957983193277311;0.5798319327731093;0.8;0.9663865546218487;0.9411764705882352;0.9747899159663864;0.907563025210084;0.9099610931448676;0.7647058823529411
InlineSkate;0.3909090909090909;0.1818181818181818;0.3309090909090909;0.2436363636363636;0.7623188405797101;0.36;0.4036363636363636;0.4218181818181818;0.2163636363636363;0.2412799930562547;0.1581818181818181
InsectEPGRegularTrain;1.0;1.0;1.0;1.0;0.9708454810495628;1.0;1.0;1.0;1.0;1.0;1.0
InsectEPGSmallTrain;1.0;1.0;1.0;1.0;0.9722222222222222;1.0;1.0;1.0;1.0;1.0;1.0
InsectWingbeatSound;0.5035353535353535;0.4005050505050505;0.4484848484848485;0.5080808080808081;0.8140625;0.457070707070707;0.5313131313131313;0.5373737373737374;0.4924242424242424;0.4675539784002617;0.1848484848484848
ItalyPowerDemand;0.9650145772594751;0.957240038872692;0.9494655004859086;0.9416909620991254;0.7857142857142857;0.9640427599611272;0.9601554907677357;0.9698736637512148;0.95821185617104;0.963639408412344;0.9193391642371236
LargeKitchenAppliances;0.856;0.8666666666666667;0.8;0.8453333333333334;0.676;0.8506666666666667;0.848;0.8186666666666667;0.8373333333333334;0.8440729437177668;0.7466666666666667
Lightning2;0.7868852459016393;0.639344262295082;0.7704918032786885;0.7868852459016393;0.6307692307692307;0.7704918032786885;0.8032786885245902;0.7868852459016393;0.7377049180327869;0.6800108242023618;0.6229508196721312
Lightning7;0.6986301369863014;0.547945205479452;0.6575342465753424;0.6575342465753424;0.6564102564102564;0.6164383561643836;0.684931506849315;0.7397260273972602;0.6712328767123288;0.4897447661416306;0.2876712328767123
Mallat;0.9189765458422174;0.7309168443496802;0.9036247334754798;0.9108742004264392;0.6564102564102564;0.5176972281449893;0.9445628997867804;0.971002132196162;0.6571428571428571;0.5427228094975447;0.2486140724946695
Meat;0.9333333333333332;0.35;0.8833333333333333;0.8833333333333333;0.7589880952380952;0.9333333333333332;0.9333333333333332;0.95;0.9166666666666666;0.844633847184761;0.3333333333333333
MedicalImages;0.7421052631578947;0.6157894736842106;0.7236842105263158;0.7526315789473684;0.9117647058823528;0.7486842105263158;0.7486842105263158;0.756578947368421;0.7157894736842105;0.6892096235648079;0.5421052631578948
MiddlePhalanxOutlineAgeGroup;0.6363636363636364;0.6623376623376623;0.6298701298701299;0.6623376623376623;0.5579710144927537;0.6493506493506493;0.6493506493506493;0.6558441558441559;0.6558441558441559;0.665859559613584;0.5714285714285714
MiddlePhalanxOutlineCorrect;0.8213058419243986;0.7938144329896907;0.8109965635738832;0.8109965635738832;0.7841726618705036;0.8006872852233677;0.8041237113402062;0.8281786941580757;0.8041237113402062;0.8154415685157137;0.5738831615120275
MiddlePhalanxTW;0.6038961038961039;0.6038961038961039;0.5974025974025974;0.6103896103896104;0.91;0.6233766233766234;0.6233766233766234;0.6233766233766234;0.5844155844155844;0.6023222998371265;0.3051948051948052
MixedShapesRegularTrain;0.9129896907216496;0.9369072164948452;0.8907216494845361;0.848659793814433;0.9393333333333334;0.9468041237113402;0.9435051546391752;0.945979381443299;0.914639175257732;0.936568380508378;0.3030927835051546
MixedShapesSmallTrain;0.8738144329896907;0.8296907216494845;0.8276288659793815;0.7492783505154639;0.8083623693379791;0.8746391752577319;0.8857731958762887;0.8758762886597938;0.7620618556701031;0.5224582170915508;0.345979381443299
